d01,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
1/14/2021,6.389,11.8315,9.0725,6.1325,6.129,6.008,10.753,8.052,5.984,6.096,6.336,7.574,7.442,11.66,11.324,9.045,12.263,14.0155,15.9665,20.173,16.168,12.158,20.676,13.4295,20.2105,18.375,21.7495,21.398,15.541,18.9145,14.9335,12.488,10.715,10.8795,11.0435,11.1455,9.4785,10.4425,8.4255,9.576,10.795,8.303,11.9625,13.2335,9.8015,12.4175,13.1215,9.5935
1/15/2021,13.3945,12.1875,11.8925,14.9405,9.8775,7.8575,6.2365,5.9095,8.956,9.765,8.721,8.739,7.0685,12.4045,15.615,12.3385,12.6875,13.0395,13.209,15.644,14.538,13.0255,17.0455,19.4815,13.9315,14.7395,14.3705,18.7735,15.6165,21.561,15.504,11.7095,13.936,10.0115,10.6955,11.2775,10.008,9.254,8.2055,8.4925,8.5485,8.2915,8.0265,7.618,7.1245,6.8125,6.6755,6.363
1/16/2021,6.3465,6.3285,6.0985,6.3415,6.1425,9.0195,7.254,6.3455,5.8365,6.092,10.572,7.415,7.4275,7.5495,15.2605,10.4445,12.9875,14.4835,20.125,17.7025,21.6205,16.193,15.9065,15.1455,17.9855,18.0735,16.141,19.961,12.1745,11.105,12.1485,12.01,12.972,10.746,10.0375,10.3925,10.41,8.9595,8.4445,8.3125,8.2635,8.0715,7.942,7.5875,7.024,6.769,6.5825,6.3155
1/17/2021,6.4,6.3795,6.176,6.3665,10.5395,6.5615,6.146,6.3215,6.3465,6.2685,6.652,6.9465,7.546,8.2145,11.7755,11.59,9.9985,20.734,20.1845,18.765,16.1895,13.095,20.189,22.5595,18.096,14.7985,20.4775,16.6075,17.351,9.7655,10.651,9.4955,10.9915,9.318,10.941,12.2755,10.8475,9.2875,8.306,8.6475,9.377,8.5275,9.787,10.991,12.127,8.9275,10.9775,10.9005
1/18/2021,9.1255,8.275,6.3285,6.1415,6.177,14.82,12.176,9.1205,6.9605,9.2285,9.6735,10.577,13.2625,12.3555,13.9545,12.9825,19.965,17.815,21.396,14.6465,13.0215,18.071,17.09,15.143,17.904,15.791,16.114,14.34,13.4885,13.3515,10.5955,10.517,9.876,10.098,9.6245,9.9245,9.7795,9.3865,7.96,7.9005,8.059,8.1015,7.7565,7.729,7.711,7.133,7.311,7.141
1/19/2021,6.5765,6.626,6.4975,6.598,6.685,7.4355,6.613,6.669,6.6705,6.6415,6.818,11.357,8.4485,13.0805,13.758,9.9405,11.6045,16.209,17.829,23.929,24.858,11.743,18.7615,20.781,17.965,15.5685,21.372,16.9715,15.1485,11.0945,12.394,12.4525,10.2135,10.251,10.179,10.935,10.5035,10.3415,8.595,8.762,8.5995,8.4075,8.1135,8.347,7.982,8.106,7.9235,7.2105
1/20/2021,6.966,6.7895,7.0365,6.7815,6.6895,6.4995,6.3915,6.4185,6.425,6.344,6.699,12.5305,8.394,12.915,17.358,12.2015,12.127,19.5075,16.254,19.6515,24.4075,14.128,11.839,22.1755,19.848,18.3,22.295,17.428,14.4435,11.5605,11.6025,13.423,13.6415,10.417,12.0805,10.1085,11.066,11.0785,9.0075,8.6455,8.645,8.2625,10.597,11.1295,9.4895,12.1535,9.2455,8.6015
1/21/2021,12.1655,9.4895,8.7815,8.9825,9.1045,9.9085,8.739,8.734,8.2205,8.215,6.5365,9.929,8.548,7.505,10.519,14.236,12.2205,20.117,15.1285,19.3555,11.923,21.5255,18.8625,16.188,20.701,18.523,16.765,15.5955,10.332,9.8705,9.8055,11.2355,15.3835,10.9935,11.676,12.315,10.0125,9.7335,9.565,9.3835,9.6495,9.67,9.051,7.5455,7.0175,7.1495,6.791,6.4395
1/22/2021,6.451,6.5765,6.4055,6.3205,6.565,6.2225,6.1525,6.309,9.7835,8.69,6.386,12.6295,10.805,7.963,10.936,12.462,10.3875,17.6695,19.1635,24.461,18.626,13.0515,22.364,15.027,19.2775,17.402,22.366,17.361,16.4515,14.089,13.938,12.416,13.014,11.954,11.671,10.6445,9.34,8.693,8.643,8.325,8.7395,13.413,9.7985,7.562,7.3225,6.605,6.7235,6.5825
1/23/2021,6.7235,6.705,6.564,6.5435,6.6655,6.906,6.647,6.6765,6.8305,6.636,6.6795,7.0995,7.5465,11.0425,11.8025,15.6465,17.2975,13.7595,12.2965,12.3015,14.4845,19.867,14.072,18.292,16.4635,17.2265,18.904,13.352,19.784,19.4015,15.5045,18.09,12.721,18.4645,10.521,10.68,10.1705,8.5275,8.3555,7.9325,8.5295,8.305,7.82,7.9705,7.38,6.9705,6.925,6.3425
1/24/2021,6.519,6.4845,6.607,6.296,6.5295,6.368,6.3515,6.5315,6.6325,6.3465,6.595,7.1555,7.468,12.5575,18.184,15.2165,20.056,17.452,19.443,20.3075,24.2155,14.8425,18.7065,15.653,18.8325,13.785,19.6975,12.951,12.7495,12.448,10.159,11.102,10.231,10.4125,9.9405,10.6715,10.638,10.7935,10.472,8.386,8.269,8.2415,7.7025,8.229,7.9595,7.848,7.4705,7.3655
1/25/2021,7.5865,7.326,7.1955,7.1615,7.186,7.25,6.7535,9.4505,6.873,6.8405,8.794,8.2,7.5715,8.5745,10.0205,12.604,14.789,18.363,20.839,18.549,15.434,18.8265,16.261,18.523,17.3925,14.9815,20.085,13.6865,11.0705,11.981,10.986,10.1535,9.8385,10.5525,10.366,10.957,10.7635,10.2365,8.6275,8.352,8.853,8.147,8.063,8.029,7.687,7.3805,6.9385,6.88
1/26/2021,6.898,6.5165,6.6475,6.3855,6.286,6.374,6.2545,6.2715,6.1985,6.585,6.5495,15.5495,9.6495,14.024,14.452,10.0975,12.775,17.9995,15.7445,19.6885,17.654,12.4845,20.6935,14.751,21.7475,21.219,18.6795,18.5245,13.8815,18.999,14.563,14.4475,10.6705,10.167,9.8755,9.6705,9.6425,9.868,7.8355,8.148,8.3005,7.9575,7.6735,7.4415,7.0155,6.686,6.981,6.5495
1/27/2021,6.314,6.415,6.18,6.191,6.485,6.0745,6.386,6.105,6.589,6.1995,6.597,16.73,9.016,10.898,11.5265,11.933,16.8325,18.1105,19.4185,18.0625,15.353,11.907,21.646,16.4015,13.2605,22.1145,18.9065,14.386,12.434,12.422,11.783,10.839,11.919,11.1235,12.0625,10.659,10.6265,10.323,8.8685,9.5795,10.1435,7.9965,7.581,7.2135,6.71,6.5055,6.5305,6.2935
1/28/2021,10.2865,6.91,6.435,6.2675,9.485,6.23,6.09,6.0725,6.0215,6.2265,6.631,7.2955,12.2735,16.829,11.47,10.626,14.623,16.592,18.865,16.8115,22.1545,11.4125,16.1675,17.234,18.343,16.458,20.0615,17.7825,16.7405,18.5385,15.531,12.574,11.5255,11.228,9.8225,10.39,10.6455,9.8605,8.486,8.1745,8.1415,7.744,7.7275,7.2705,7.151,6.8595,6.827,6.258
1/29/2021,6.015,6.329,6.31,6.1715,6.4175,6.3935,6.446,8.31,9.0065,6.3075,6.603,14.7315,13.1435,15.8925,20.1925,14.373,13.975,18.8625,17.724,16.626,18.668,16.321,16.3055,19.6955,16.3505,16.5065,14.867,13.3995,12.2015,14.2395,15.3945,12.617,12.5025,10.856,10.6895,10.539,10.5955,9.605,9.047,8.3105,8.0615,7.5315,7.4805,10.0455,10.671,7.208,6.7635,6.3945
1/30/2021,6.47,6.128,6.528,6.3705,6.42,6.188,6.3035,6.333,6.282,6.4195,6.6835,6.797,7.236,7.685,14.3085,18.9535,16.4015,21.959,15.597,21.56,17.5555,13.707,19.3195,18.455,23.9255,13.5155,23.313,18.279,18.9945,11.7975,13.6545,12.144,11.013,11.6075,10.2395,9.896,11.316,10.2735,8.9215,8.418,9.2165,7.8465,8.034,7.7755,7.3685,7.203,7.034,6.567
1/31/2021,10.253,7.943,6.9705,7.003,7.049,6.542,6.604,6.6155,6.7435,6.757,9.2965,7.977,12.5735,9.8835,12.853,18.5595,19.5825,20.7445,19.8915,20.121,18.664,18.186,15.628,16.1205,21.2235,21.515,19.634,17.812,13.8995,11.1715,9.7995,10.0345,10.322,9.64,11.282,12.601,9.744,8.5955,8.592,8.5825,9.3235,8.8195,9.106,7.863,7.493,7.552,7.349,7.427
2/1/2021,7.4205,7.31,6.97,7.202,6.847,6.779,6.822,6.6295,6.777,6.5195,7.214,14.067,10.89,13.0595,14.4175,14.081,12.3005,14.856,12.457,15.826,18.455,15.1825,22.7225,17.2635,17.5445,17.573,23.8045,20.7585,16.571,15.087,18.987,12.5175,10.4955,10.176,11.039,10.5145,10.8265,10.003,7.8865,8.0095,8.3405,8.054,7.7625,7.8625,7.891,7.3385,7.1985,6.7
2/2/2021,6.573,6.5625,6.524,6.4015,6.813,7.114,9.6335,6.6455,6.468,6.5965,6.7905,15.241,14.7255,14.7525,10.9195,11.9095,19.745,21.4,19.5755,19.4795,20.0435,17.7215,19.1955,21.1465,18.9555,20.118,19.003,16.4935,12.0665,12.125,13.645,10.3635,10.299,10.2,10.058,10.855,10.121,9.2985,8.365,8.3655,8.095,8.0875,8.508,8.401,8.096,7.9255,7.501,7.179
