Demand,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
26/02/2021,4.2512,6.318,1.7364,3.3136,5.451,2.0386,1.6944,4.12,6.846,1.8308,3.6464,1.1248,6.768,1.584,4.1568,5.784,0.0208,3.704,0,0,1.5104,0.6144,0,2.5872,16.395,17.013,3.4848,0.6352,0,1.5888,16.32,16.5855,12.595,1.8435,1.8672,2.4816,2.4432,1.584,2.0208,1.7952,0.8832,1.8336,1.04,1.6736,1.592,0.944,1.712,0.9328
27/02/2021,18.131,20.0465,20.688,20.7645,16.7985,1.5923,1.08,4.5664,1.5344,3.3312,6.656,0.9952,1.7184,0.8208,1.4576,0.0576,0.0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5024,0.904,1.2272,1.5632,1.1328,1.5824,0.9328,1.6512,1.0192,1.8288,0.8816,1.7072,0.784,1.8416,0.8336
28/02/2021,18.0845,19.637,20.363,8.24,1.4371,3.4368,1.4336,3.8784,1.3056,3.8144,3.8752,0.928,6.992,0.7632,1.2832,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288,0.1984,0.9792,1.16,1.344,1.4368,1.24,1.2016,1.36,1.1312,1.6112,1.0448,1.4352,0.8976,1.44,0.824
01/03/2021,17.8815,19.784,20.227,5.117,1.0977,3.224,2.8496,4.4576,1.5888,5.347,1.9618,0.9056,3.8,14.784,20.8975,18.8525,1.5044,2.9424,2.5264,0,0,0,0.0016,0,0,0,0,0,10.803,13.763,11.509,2.4178,6.6685,20.2305,20.757,20.318,20.554,20.987,20.728,19.749,2.9008,1.8672,3.5328,6.12,1.5088,3.5216,6.0125,1.1891
02/03/2021,1.1728,3.4944,5.6335,1.5025,3.552,3.6688,3.3168,1.5504,2.7488,6.163,0.8994,1.5712,4.1024,10.875,21.1345,20.1965,7.085,4.6818,4.8832,3.52,1.08,0.5952,0.0832,0.0784,0,0,0,2.2736,12.0495,12.176,0.0001,2,17.222,20.525,20.0625,21.203,20.7375,15.357,3.8194,0.8064,3.5424,3.32,2.2912,1.504,3.1488,2.4896,3.0208,1.512
03/03/2021,3.08,3.6368,2.6256,1.384,2.872,2.5536,3.112,1.0688,2.5792,2.9168,2.8368,2.832,1.0992,3.1408,2.808,2.8992,0.592,3.7072,2.7808,3.0544,1.9552,1.152,1.496,3.1008,1.8944,1.8608,3.8496,2.9712,2.7104,2.3072,6.6125,8.392,4.9043,6.158,5.7825,4.1027,5.2845,5.205,5.312,4.6401,3.0016,4.4608,3.6528,2.9904,3.3952,3.6816,3.6384,1.9296
04/03/2021,4.4448,3.1152,3.1984,1.4784,2.9696,2.9776,3.0784,0.9728,3.5744,2.4336,3.024,1.0064,2.6592,3.216,2.3552,2.6736,0.7728,3.5104,1.2896,1.1888,1.464,0.4736,2.2944,1.4352,1.6656,0.4,2.1408,1.6384,1.0576,0.4624,1.3296,6.891,2.0482,3.6928,4.76,3.3312,4.7024,5,3.1456,3.9168,4.3104,2.632,3.608,3.4432,3.2816,1.9552,3.4944,3.4304
05/03/2021,3.5072,1.9904,3.4272,3.0544,2.5936,1.8144,2.7744,2.2288,2.7776,0.8032,2.3808,2.8064,1.9104,2.7264,3.3904,0.4976,1.5488,1.84,1.1824,0.032,1.4272,2.832,0.7552,1.6688,2.3376,2.6224,2.504,0.1264,5.83,12.792,1.6468,1.3776,2.4256,2.536,2.0112,3.3408,1.44,3.4768,2.6464,2.32,1.3712,2.088,2.6192,1.2176,2.216,2.5712,2.1744,1.2784
06/03/2021,2.0656,2.7712,0.7648,3.0496,2.088,2.1904,2.6176,0.8208,2.7168,2.2192,0.7536,2.832,2.4592,1.4016,1.9024,1.7104,1.8544,0,1.3536,1.2752,1.1584,0,1.144,0.9152,0.9072,0,1.4512,0.8832,0.5952,0,1.5296,1.024,0.496,0.8448,2.3008,1.9504,1.3408,2.1552,2.3376,2.76,0.952,2.6256,2.2592,2.2656,1.24,2.2832,2.6704,2.232
07/03/2021,0.816,2.824,2.3904,2.72,0.9072,2.152,2.7776,0.88,2.5184,2.1472,2.2896,1.2864,2.1328,2.3632,2.408,1.6608,1.0336,1.4464,1.4816,0.04,1.0608,1.072,0.8896,1.152,0.176,0.224,0.9216,1.0432,0,1.1792,1.3008,1.8848,0.0224,2.168,1.8,2.6416,0.7264,2.3776,2.6864,2.2064,1.432,2.0784,2.4064,2.6704,0.76,2.8816,2.5088,1.6064
08/03/2021,2.1184,2.1568,2.608,0.8208,2.6576,2.4512,2.072,1.1936,2.3136,2.2272,1.5888,2.0432,2.9536,2.584,0.7152,2.3824,1.4832,2.376,3.8496,1.5472,2.616,0,0.4304,0.7552,0,1.096,1.0304,0,1.2368,0.9408,0,2.0416,8.7295,12.56,2.7681,1.5696,4.0432,6.5725,1.7219,3.6976,5.779,2.0162,1.1888,3.368,6.2125,0.9923,3.616,4.8928
09/03/2021,2.1936,0.768,5.27,1.2676,4.5232,2.5664,0.792,3.3136,5.571,1.733,0.8608,2.9712,5.9405,9.376,21.088,19.885,6.2765,4.898,0.7184,3.0672,0.0544,2.2816,2.3488,2.736,6.1725,12.5695,14.4705,19.941,19.371,17.848,21.3505,4.997,20.528,19.768,19.811,19.963,20.1505,19.8355,20.435,9.568,1.045,4.1952,5.424,0.9664,6.0495,1.0417,2.6208,2.768
10/03/2021,5.118,1.2916,5.667,1.4802,6.966,2.0036,1.7056,5.832,0.7968,1.6736,6.6975,1.6241,0.9072,7.5695,1.6721,4.6784,3.1392,5.5615,4.9073,1.2832,4.5856,1.0448,5.686,6.5345,2.9955,2.872,19.9375,20.299,6.989,3.4049,3.016,12.366,21.6115,21.448,20.3375,21.531,21,12.6945,2.3923,7.736,2.5152,6.003,2.1538,4.3552,6.032,1.9792,5.734,1.8468
11/03/2021,3.44,2.5024,5.568,1.3904,6.5725,0.7763,5.107,3.8386,2.7888,4.7664,1.256,6.291,1.4034,3.5952,6.059,1.5986,4.5968,0.2704,7.2655,11.6625,11.928,2.2208,1.008,0,0.0016,0.7648,15.3375,16.8465,15.0815,18.4765,16.765,16.12,21.784,20.2495,20.4415,20.506,21.288,20.424,20.67,20.661,20.093,1.992,4.3008,2.9184,1.5232,3.2416,3.4544,2.8928
12/03/2021,1.1536,2.9744,3.2992,2.2384,1.2944,2.8368,2.7392,3.3408,2.2528,1.3696,2.8672,2.8384,1.5312,2.9168,3.28,3.2448,3.8672,2.9696,1.6416,0.7008,0.1056,0.8384,0.792,0.0032,13.139,1.0354,0.6016,1.1248,1.0512,0.0544,1.7728,3.496,0.0928,5.646,2.1908,5.9325,6.813,2.4849,4.8464,3.3456,4.4992,1.2896,4.976,1.2656,2.7472,5.9135,0.9409,5.848
13/03/2021,0.6928,3.72,2.6032,3.0032,4.8784,1.384,5.7485,0.8131,5.8445,0.7651,5.446,1.5108,1.6208,5.2605,1.2755,4.8384,0.2944,1.6144,4.4864,0,2.4816,0,1.5984,4.4768,0.3568,0.0016,3.8944,0,2.2832,0,0,2.9216,0.0384,2.992,4.64,0.6736,2.1216,2.0704,6.006,0.8164,5.704,0.7504,4.32,5.3245,1.4275,4.2064,1.1328,5.8365
14/03/2021,0.8675,2.1888,5.259,0.9378,5.872,1.0192,5.3695,1.3361,5.286,1.2708,5.7005,1.2131,2.9264,3.9136,0.1312,4.216,0,3.1712,0,1.4992,3.752,0,3.8336,0,3.0544,0,3.3632,4.2368,0.6,1.8592,5.483,0.5682,4.5504,2.8816,2.3056,4.0432,2.0336,5.726,0.9748,5.8575,0.8817,5.3645,0.8723,5.68,0.9328,3.64,4.5648,2.2816
15/03/2021,3.8512,2.4176,4.6736,1.9408,3.944,0.7824,5.9725,0.6995,5.182,1.698,4.7248,1.4224,5.622,2.4052,1.76,4.2864,0.0752,4.8608,0.904,1.0256,1.0208,0,0.568,0.9312,0,1.416,0,0.8912,1.2624,0.4656,2.7424,5.539,5.6895,14.9265,0.501,4.7856,1.7424,2.6688,6.907,1.4338,1.0864,6.115,1.0546,1.2688,0.9232,6.4655,0.9169,1.3952
16/03/2021,2.0112,5.6045,0.8579,1.4976,5.6415,1.4561,0.7408,2.0224,5.5405,1.3251,1.5328,6.278,1.5044,6.48,21.128,21.707,11.0335,5.7825,4.0578,2.2256,4.808,1.4224,6.6015,3.5729,4.3152,1.4224,17.2845,2.3059,0.7728,0,0,3.1504,11.48,20.0925,20.645,21.8575,21.384,21.283,21.741,21.435,21.0305,20.8915,21.144,20.702,12.021,1.8642,5.8445,2.1219
17/03/2021,5.2975,2.9857,1.8832,5.6205,1.7475,8.0015,1.4609,1.4816,1.92,7.454,1.5988,1.0048,8.0205,2.6067,1.4096,4.5216,0.4784,3.6672,3.168,0.1184,0.3712,0.0576,0.4208,0.9888,0.4768,9.6495,2.9569,12.704,0.8448,0,0,2.6192,7.576,19.2975,19.496,20.3565,20.76,21.576,21.048,20.264,20.8305,20.589,20.4145,5.0605,3.0611,2.9184,1.6464,3.2192
18/03/2021,3.6544,2.8128,2.392,1.9136,3.1968,2.7936,2.4448,2.6896,2.1872,2.7888,2.912,2.88,3.4688,2.312,2.0432,2.4832,2.5312,3.9328,3.3232,1.0016,2.5568,2.6576,2.832,1.56,0.208,1.7664,1.2448,2.328,0.032,2.6816,1.8864,2.5536,3.3296,4.4768,5.147,5.1585,3.8289,5.267,4.9554,4.1424,4.5776,2.5488,4.2512,3.968,3.8016,1.9504,3.6224,4.272
19/03/2021,1.496,3.2864,3.7104,2.5568,1.904,3.0352,2.3936,3.472,3.1216,0.9136,3.2784,3.6496,1.0384,2.7072,2.2912,1.5264,1.1312,1.5792,1.7088,2.344,0.0192,1.376,1.376,0.9552,0.3088,1.1552,13.8605,15.277,15.6625,2.9568,5.067,6.4975,6.1585,2.7362,12.966,2.5716,7.024,3.4512,2.4208,4.7808,6.192,2.2992,1.6016,3.7632,7.054,1.6868,2.1536,6.6815
20/03/2021,2.2609,1.5248,4.16,6.3965,2.0483,3.5376,6.803,1.7906,6.619,2.037,1.6384,8.238,1.482,2.0144,6.035,1.0626,2.3184,2.6656,0.5264,4.2192,0,0.0496,5.888,0,0.0096,4.2944,1.0624,0.4864,4.5152,0.2304,2.0656,4.8016,0.7632,6.144,1.3024,3.8256,2.4448,6.3965,2.0227,3.4112,6.6765,1.6483,6.5855,1.6465,2.0976,6.592,6.144,1.936
21/03/2021,2.848,6.851,1.533,6.6575,1.4913,6.262,1.762,6.4125,1.5283,4.1152,6.9935,1.6721,6.478,1.45,6.339,1.0402,4.376,1.216,1.8576,1.6496,1.6736,0.4464,0.952,0,3.2512,0,0.632,2.7248,0,3.2864,0,3.5968,0,3.6304,0.9184,3.3168,6.5885,2.2179,2.1104,5.8125,1.8947,3.6432,6.0605,2.1603,5.784,1.9712,4.1664,6.95
22/03/2021,1.6164,3.192,3.776,6.4335,1.4721,3.8288,6.299,2.0754,1.7632,5.672,5.518,2.0996,4.12,6.8415,1.1329,4.2688,0.24,5.566,3.002,0.3856,0,0.0272,0.0416,0.024,0,0,2.3056,4.3392,0.6976,0.0128,0.0032,0.128,10.5375,19.7485,19.9345,20.3535,20.624,20.784,20.717,20.091,16.549,4.077,4.1088,1.3776,5.1615,3.9537,1.0608,1.4304
23/03/2021,5.318,1.3668,6.2925,1.5683,3.4576,3.264,1.3504,6.656,0.9968,1.2768,4.7584,4.6192,1.712,6.646,20.0595,20.299,13.2705,1.8082,5.0095,1.6929,0.3808,0.2336,0.0752,0.192,0.0384,0.4464,0.0368,0.0384,0.7968,0.5792,1.0416,19.8735,25.7055,23.9745,20.9935,20.603,20.965,20.981,20.8815,20.707,21.144,20.173,11.027,2.0451,6.358,1.4852,6.4045,2.3203
24/03/2021,6.2015,1.0225,7.035,1.1426,3.288,6.8815,1.5185,6.0415,2.9921,4.824,4.312,2.6304,6.544,4.0944,20.3325,18.5665,6.371,3.058,1.7392,0,0,0.112,0.1472,0.2256,0.0912,0.1872,0.2432,9.7885,0.5427,0.2576,0.0736,0,7.0205,21.597,21.6305,22.0925,21.8035,20.763,20.5935,20.6035,15.294,1.5236,3.5808,4.0048,1.6384,2.6224,2.84,4.1312
25/03/2021,2.4864,2.1584,3.1168,2.6304,3.6992,1.1776,2.9904,3.0384,3.0992,1.6304,2.4912,3.2128,2.3664,2.168,1.312,1.1904,0,1.3376,1.1504,1.1088,0.024,0.8672,0.4416,0.5312,0,0.6576,0.5312,0.408,1.416,1.3872,0.0032,1.9536,3.8848,2.1888,1.3472,4.1824,4.2432,3.4512,3.9616,3.4096,2.552,3.1856,3.5296,2.1088,2.7584,2.448,2.3552,2.424
26/03/2021,3.0944,2.6256,2.7552,2.9088,0.9504,3.7856,2.456,2.5648,1.2176,2.76,3.3024,0.9728,2.7952,2.0352,1.888,1.0976,3.0288,3.9968,2.8576,0.5392,1.0832,0.8336,0.2,0.864,0.0336,0.4288,0.976,0.2672,9.23,5.376,1.5652,0.0928,4.5712,18.659,19.875,20.3345,3.4339,5.272,2.2704,6.1165,4.8979,2.88,5.798,1.9636,6.398,1.5428,3.4288,6.387
27/03/2021,1.789,5.9775,0.8577,5.696,0.8496,5.883,0.7586,2.904,5.672,1.4464,5.5695,1.4625,4.84,0.2272,3.3008,0,1.384,2.6768,0,0,1.2336,2.4784,0,0,2.7552,0.4544,0,2.216,2.4928,0,0,4.2208,0.592,0.8064,3.0112,4.6752,1.2528,1.04,2.9152,4.5632,1.8416,1.2896,7.0285,1.7891,0.7472,1.6208,5.1855,1.4785
28/03/2021,0.9872,5.1885,1.4531,1.2512,3.16,6.286,0.7476,1.3936,5.8575,1.3793,0.8864,3.3456,5.0285,1.0627,1.2624,2.304,2.7984,0,2.0944,3.3232,0,0.0144,4.76,0.0528,0,0,2.6864,0.0544,0.064,1.52,3.9248,0,0.9728,5.6,1.2176,0.6144,1.9696,5.4175,1.0065,1.6016,7.44,1.656,1.144,1.0512,6.776,0.7936,1.5456,5.9485
29/03/2021,1.4083,0.7792,1.408,6.672,1.5856,1.8656,6.2495,0.9201,1.3664,2.504,3.8688,4.6896,1.5456,4.8352,0.5136,4.2432,6.542,4.7684,5.1215,0.4705,0.0256,0.048,0.0032,0.0016,0,0,0,0.0224,0,1.0832,1.6512,0.1952,0.0688,0.6384,1.0432,1.6928,1.9728,2.7328,2.8208,3.08,2.1088,1.7472,1.5984,1.4512,2.0096,1.7296,1.408,1.4752
30/03/2021,17.203,20.4545,20.4605,20.5395,20.6975,19.9345,20.7185,20.555,20.6095,19.877,19.4,10.7245,20.296,19.901,5.4975,3.4483,0.0272,0.104,0,0,0,0,0,0,0,0,0,0,0,7.632,14.31,15,17.968,19.413,18.9615,19.7855,20.9875,21.2785,20.5885,15.6015,2.9796,1.4048,6.515,3.0242,1.9888,2.2944,5.632,1.8704
31/03/2021,8.158,1.3844,1.6416,2.3248,6.488,1.7808,2.1232,2.3328,4.9584,1.5744,4.8752,14.022,21.986,18.2685,0.5395,3.7568,3.7072,0.1616,0.0176,0,0.0464,0,0,0,0.9216,3.5696,10.238,0.4004,0,6.014,14.642,16.675,17.4095,19.3555,19.75,20.112,20.89,4.696,4.2416,3.1648,3.224,3.9984,4.344,2.0096,3.0912,3.1744,3.2496,1.7136
01/04/2021,2.9024,2.7632,2.984,1.6416,4.0544,2.5824,1.952,2.52,3.4384,3.3136,0.9968,3.0064,2.9024,2.4224,1.1616,5.12,5.187,4.0802,3.5984,2.3696,3.176,1.3312,1.8992,1.5408,0.4016,2.248,2.416,1.8368,0.5152,2.2848,3.5424,2.1136,1.632,1.6192,2.1408,1.5552,2.7776,4.0112,2.9136,2.0448,3.8432,3.2368,3.8048,1.3616,2.8976,3.496,2.3856,2.1344
02/04/2021,2.5632,2.568,2.9824,1.824,3.3136,2.3216,2.8016,1.2912,3.7104,2.1936,2.9936,1.0384,2.2672,1.7568,0.088,1.4896,1.3552,1.1984,0,1.0048,1.2848,0.4672,0,0.368,0.472,0,0.6912,0.672,0,0.8016,1.0704,0,1.1232,1.6256,1.7856,1.6848,3.0896,3.2496,1.9488,3.352,3.0992,1.8624,3.2672,3.3168,2.9136,1.28,2.7824,1.5072
03/04/2021,2.2352,2.4832,2.3008,1.7584,2.1824,2.704,1.0672,2.4064,2.1152,3.3264,0.8608,2.8064,1.8368,1.2928,0.5904,1.6336,0.472,1.2928,1.304,1.1008,0,0.9216,0.8496,0,0.8656,0.2144,0.4208,0,0.4832,0.6336,0.5808,0.224,1.1232,1.272,0.1792,1.44,2.2416,2.0528,1.432,2.1232,2.64,2.0512,1.2496,2.3552,2.816,0.8624,2.68,2.2672
04/04/2021,1.2448,2.3696,3.336,1.1776,2.4368,2.1872,2.6432,0.824,2.6288,2.5248,1.24,1.9984,2.2016,1.1232,0,1.016,0.576,0.576,0.528,0,0.3488,0.2384,0,0.1856,0.2608,0,0.2912,0.3728,0.488,0.1072,0.6672,0.8224,0,1.1376,1.0928,2.0352,0.136,2.8096,2.1808,1.3584,2.1728,2.8064,2.8016,0.784,2.6928,2.4896,1.2752,2.3936
05/04/2021,2.7408,0.7184,2.6336,2.2464,1.344,2.4096,2.9616,2.0448,2.7264,0.8512,2.4304,2.1008,1.5216,0.0096,1.0848,1.2096,0.6672,0,0.3648,0.3216,0.168,0,0.088,0.1584,0.0176,0.1488,0.424,0.4688,0,0.5376,1.064,0,0.6048,1.1424,1.6448,0.0704,1.6096,2.2576,2.2704,2.896,0.7296,2.5808,2.2112,2.2944,1.1952,2.1456,2.6144,2.1184
06/04/2021,1.3872,2.1152,2.144,2.6304,0.7264,2.6256,2.3968,2.4672,2.3424,0.8192,2.632,1.9184,1.8592,0,1.0256,0.9728,0.84,0.6608,1.304,1.6688,2.1824,2.616,0.264,0.5184,0.1904,0.0864,0.3456,0.0032,0.1024,6.222,6.317,0.0594,2.7696,2.0048,1.1136,0.8064,7.016,1.4272,1.504,1.8032,6.062,1.6692,1.2176,5.768,1.5008,0.9072,6.1965,0.9315
07/04/2021,0.9168,1.4192,6.504,1.4304,0.8144,1.1104,6.032,0.8016,1.9536,6.87,0.9284,8.643,20.525,19.438,3.8516,4.2784,6.011,2.7538,2.3056,0.0496,0.5216,0.3088,0,0,0,0.2896,14.267,17.371,17.837,7.44,8.512,18.9425,17.227,17.581,18.403,19.36,13.8915,1.472,5.152,1.3344,3.5232,4.1456,1.6608,4.0784,1.4,6.387,1.3618,1.4464
08/04/2021,6.1855,0.9329,1.4608,6.4765,1.4387,1.3632,3.1184,6.334,1.7268,0.9728,1.6912,14.648,20.403,17.509,4.0544,2.5712,3.1248,0,0,0,0,0,0,0,1.0592,5.3245,0.0003,0,0.0016,0.5232,9.4125,18.077,18.787,16.413,17.008,19.7775,20.336,21.315,8.5315,1.9185,2.9376,7.304,2.2736,2.1856,7.1325,2.8051,1.6816,1.7312
09/04/2021,6.947,1.7138,3.256,2.2336,5.696,0.9392,2.248,7.072,1.0512,2.24,1.176,10.4365,20.9695,21.6705,8.0995,5.8285,8.1025,3.5938,4.7776,2.504,4.048,6.523,2.6706,8.072,3.0208,1.3472,1.7616,0.9872,3.848,20.128,18.0575,13.587,14.5795,17.5775,18.627,20.6575,21.074,20.5375,20.5485,14.744,2.5396,1.9472,6.536,1.8832,7.2925,2.9363,0.888,1.456
10/04/2021,7.259,1.8866,1.6064,3.6256,5.3775,1.4465,1.496,6.456,1.504,8.035,20.8015,21.7455,7.306,1.7456,1.7168,2.6128,0,0,0,0,0,0,4.6112,0.296,13.6845,7.2435,0.2528,0.7136,18.427,21.229,20.984,20.3535,19.827,19.6865,4.485,1.7024,3.2096,4.552,7.814,2.9764,3.04,6.6525,3.4227,6.291,2.2258,4.7664,4.8928,4.1936
11/04/2021,1.5584,3.0176,5.9615,1.4433,3.056,3.3744,1.4032,5.456,1.3712,1.5504,7.3085,3.3203,18.4575,18.0175,9.293,4.4416,6.7165,0.0179,0.048,0,0,0.0272,0,0,0,0.3184,0.0656,0.0592,0.1216,1.5696,8.216,22.5535,16.4045,17.242,18.4575,19.4925,20.962,21.027,18.341,2.9648,6.87,1.754,1.92,7.048,1.5008,1.4464,6.0605,2.9379
12/04/2021,1.5184,1.1328,6.0335,1.6337,1.5616,6.496,2.1984,0.8928,1.7616,5.1775,1.9137,5.6,20.0205,19.837,7.368,4.1713,7.0685,1.7491,0.0256,0,0,0,0.0784,0.4512,0.9616,9.0605,13.4835,2.6784,0.8496,3.1392,11.8575,18.1085,17.712,16.57,19.7295,19.976,13.3165,5.0195,3.5249,5.04,4.8272,5.024,2.9264,4.4272,3.7664,3.6464,3.3968,3.272
13/04/2021,3.5728,3.3008,1.672,3.1872,2.9248,2.688,1.0576,3.5536,2.7968,2.7216,1.3472,2,1.7056,1.0992,0,1.2096,3.2848,0.6144,0,0.4336,0,0.2512,0.4992,0.5024,0,0.4656,0.4144,0.0848,0.8096,1.2608,0.9456,0.9872,0.384,1.7168,1.8112,3.5312,2.8272,4.7856,5.1325,3.7347,5.126,5.045,3.5154,3.9168,4.336,2.9168,3.448,3.704
14/04/2021,2.4928,3.3568,3.5568,3.592,1.8496,4.328,2.5328,1.9136,2.1248,2.7584,2.432,1.6432,1.392,1.0528,0.2336,0.9456,0.7792,0.6272,0.0752,0.3936,0.32,0.272,0,0.7424,1.7536,0.4688,2.2288,13.4125,5.216,1.1827,0.0208,3.672,0.0048,0.7072,6.387,2.741,1.8384,1.8672,6.6895,2.0849,2.0304,1.8848,6.8605,1.8291,1.688,5.752,1.7296,0.9344
15/04/2021,3.1776,4.4544,1.4112,1.0576,5.9245,0.9683,1.5616,6.59,1.5332,1.5008,1.4656,5.7805,0.0003,0,0.6944,2.5872,0,0,2,0,0,0,1.104,0,0,2.6624,0.2576,0,0.7888,1.4704,0,1.784,0,2.6048,0.1968,2.44,3.3728,2.264,0.8752,7.054,1.0868,1.3712,1.5952,5.843,1.6322,0.7984,1.6496,5.6125
16/04/2021,0.7491,3.6976,0.7504,4.1536,2.5904,2.8016,2.9648,1.3824,6.934,0.9668,1.3488,2.712,2.952,0,0,3.2304,0,0,1.2608,0.1616,0,0,0.9888,0,0,2.0992,0,0,2.0048,1.5984,0,0,3.824,0.0688,0.008,0.9216,4.5616,1.3536,0.8928,7.3005,1.3507,1.16,1.6208,5.472,1.5616,1.976,6.488,1.5088
17/04/2021,0.752,1.5664,6.134,1.3204,1.28,2.76,5.014,0.8692,1.512,5.696,1.3152,18.0445,19.2975,13.973,0.0002,2.7664,2.4064,0,0,0,0,0,0,0,0,3.3248,10.5165,5.872,0.0003,1.152,14.014,15.6515,14.2495,16.731,18.4035,16.6975,1.661,2.3888,4.8976,1.9632,6.2605,1.7219,6.3565,2.4723,1.3072,4.3392,3.0112,1.6992
18/04/2021,3.7456,4.1232,1.8512,8.5375,1.0625,1.4896,1.6224,6.6895,1.0545,1.3888,6.768,4.3504,17.5485,17.1155,4.968,2.4976,2.3488,0.5664,0.0016,0,0,0,0,0.4464,0,11.232,6.214,0.0004,0,1.7216,5.859,18.6655,16.3535,17.856,17.992,19.7155,19.5025,20.91,18.669,2.349,6.9805,2.8387,6.131,1.5298,2.7328,6.662,2.4788,3.816
19/04/2021,6.5565,2.0403,1.6736,6.9325,1.8035,2.4192,6.4205,1.1235,2.2256,5.584,2.5424,9.408,20.254,20.2465,5.605,4.9569,3.2256,2.992,3.4288,0.5488,2.552,0.3584,0.5264,0.1088,14.5935,16.843,17.9695,18.0785,12.0815,4.01,8.902,20.416,18.0465,19.712,19.8175,19.6755,16.7215,2.8994,3.0976,7.6495,2.7697,2.9696,5.3405,6.296,1.4547,1.624,5.7885,3.6099
20/04/2021,1.5632,6.728,1.8032,1.9792,3.8672,1.8816,5.739,1.5954,2.2304,5.552,1.6,5.326,0.7508,2.384,2.0176,0.2944,3.4768,0,0.1232,1.352,0.4736,0,0,3.536,5.1565,6.9615,1.7076,0.7024,3.6704,12.3405,13.4385,14.427,15.8755,17.72,13.1665,2.7264,2.7664,8.4205,2.9971,3.2784,3.3008,7.838,2.4404,2.5984,6.816,2.3072,3.6928,6.272
21/04/2021,4.8976,5.003,4.3266,5.171,2.9298,3.9104,3.7136,4.3184,3.8096,2.3264,3.3392,3.7232,2.272,1.8128,0,1.056,0.8592,1.2064,0.1408,0.4944,0.4848,0.848,0,0.6768,0.288,0.3328,0,0.5632,0.7552,0.648,0,0.8016,1.1408,0.0544,1.1744,3.088,1.8752,2.5024,1.912,3.736,3.4336,3.528,2.0928,2.4928,3.4704,3.4928,2.0672,3.72
22/04/2021,3.4832,1.7456,2.5488,3.3648,3.1088,2.1344,3.8064,2.576,1.6208,3.3968,2.2768,2.264,0,1.12,1.032,0,0.584,0.3984,0.2576,0,0.2192,0.1312,0,0.288,0.328,0.2144,0,0.4704,0.6976,2.8368,0,1.3664,0,1.4496,3.3824,1.2608,0.7632,6.36,1.4672,0.9904,1.448,2.4528,3.3648,1.9936,5.9965,1.0515,1.5888,3.32
23/04/2021,1.3664,3.9616,2.1952,2.3632,5.776,1.728,0.976,2.408,4.4672,1.3824,0.7936,10.088,18.1725,17.1715,4.9664,3.0496,2.5472,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4896,13.67,16.5395,17.2045,18.021,19.032,20.771,21.1825,21.136,21.24,21.4575,13.186,2.3744,5.6095,2.7217,1.5648,1.7744,6.1885
24/04/2021,1.4899,2.8752,6.67,1.5332,1.3856,5.987,1.4866,1.3984,1.6336,5.8765,1.4915,5.107,19.733,19.5885,9.544,5.3985,2.9442,3.7216,1.3856,0.0832,0.3248,1.1072,2.144,0.1488,0.2272,4.5712,17.9165,19.7505,0.8578,2.8432,10.64,19.779,15.7135,17.221,17.856,18.8305,11.523,1.7922,2.4592,8.8525,2.1491,1.92,4.352,6.832,2.3344,3.8064,6.219,1.645
25/04/2021,1.592,3.776,7.075,1.6882,3.096,6.755,1.189,1.2624,3.6816,6.176,2.0448,3.552,2.5312,2.5136,0.2544,5.2815,23.179,20.6815,4.7748,3.1392,1.5952,0.3456,0.4464,17.366,22.0305,20.736,21.3905,22.987,19.8625,22.0355,22.467,22.1215,20.8065,19.2625,19.779,20.2255,21.256,21.6545,15.4255,3.6484,7.7135,4.5537,3.7984,8.056,3.5616,5.2445,7.44,2.5587
26/04/2021,5.438,4.0644,1.5712,3.8848,6.872,1.8752,4.0832,3.9296,4.296,2.1088,2.8416,8.6045,18.3265,15.891,4.65,1.8912,2.2816,2.4784,0.3904,0.1216,0.3008,0.0032,0,0,2.864,9.3375,8.4,2.8449,0.9104,2.6176,4.648,25.659,21.789,22.032,20.4685,20.896,20.597,21.4975,21.363,21.4595,5.8385,3.8976,5.8285,2.8259,8.1775,2.2129,1.96,3.6928
27/04/2021,4.36,4.0096,1.4768,3.392,6.107,1.597,3.4512,2.7952,4.3456,1.3904,4.2832,15.334,18.162,14.747,0.0402,2.5744,2.5728,1.5248,1.0832,0.416,3.888,2.5328,0.5648,0,18.198,19.765,18.3425,11.328,2.7153,5.147,10.621,14.4255,13.4735,14.565,14.6895,18.163,18.4655,10.368,7.4595,2.3249,2.8064,3.4928,6.736,1.7664,6.59,2.0932,6.7375,1.3409
28/04/2021,3.592,4.4128,2.3152,6.4015,1.9409,3.2272,5.8045,1.1747,6.9615,1.4097,1.36,4.592,0.1824,4.0976,0,0,0.9136,3.024,0,1.712,0.0736,0,0,0.7344,2.5152,0,0.248,3.3424,0,3.8224,1.2032,0,2.7568,0,4.4592,0.2096,0.8816,4.2688,5.667,2.0402,2.9872,6.963,1.717,1.5872,6.963,1.8322,3.5856,4.9808
