Demand,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
14/01/2021,20.304,20.0355,4.4768,0.8992,3.9584,0.8544,6.462,0.8868,1.1696,6.102,1.01,1.5312,6.4285,1.8355,1.2704,1.5408,1.5952,2.4928,9.819,20.8575,19.9905,2.2242,6.4765,6.1665,1.4882,4.2272,20.507,20.371,20.922,20.1455,3.0161,2.5424,3.7936,16.9325,21.0675,20.55,19.96,20.2625,19.8465,20.013,19.603,20.093,19.768,20.384,19.5295,2.0657,0.9904,3.4448
15/01/2021,5.6605,1.3459,0.9872,5.7615,1.3521,1.4864,3.16,6.094,0.8804,1.5136,5.875,1.245,1.5888,5.843,15.1505,21.299,12.3345,5.792,4.9298,3.0704,3.32,1.5776,1.6224,1.6544,1.0784,1.6272,0.6112,1.4544,0.9008,1.6576,2.5136,2.5136,2.816,2.728,1.7184,1.728,1.2704,1.6544,1.4848,1.1968,0.9216,1.3072,0.7264,1.2832,0.8032,1.2736,17.8125,20.12
16/01/2021,20.2545,20.072,20.315,19.877,20.2625,19.7585,20.232,19.744,19.766,20.157,19.688,20.277,7.9535,1.3121,0.7664,0.88,1.6688,1.2992,0.3712,0.5056,0.3568,0,0.0208,0.0272,0.0064,0,0.4304,0.0288,0.0288,0.48,0.1152,0.0448,1.2128,1.528,1.0352,0.7648,1.2736,1.7072,0.7568,1.0512,1.2464,1.7744,0.768,0.7632,1.4256,0.7712,18.6015,19.9345
17/01/2021,6.5085,3.2611,0.72,2.7392,2.1104,3.3904,0.728,2.4512,2.6256,2.1808,2.7376,0.7936,2.256,1.224,1.3888,0.792,0.8656,0.9344,0.0304,0.3552,0.0016,0,0.1184,0.024,0.4432,0.1568,0,0.0416,0.5376,0.632,0.8608,1.1792,1.4736,1.4816,1.464,1.288,1.5168,1.496,1.5616,1.2736,1.1584,1.2592,0.7616,0.848,1.3504,0.7584,18.3645,20.032
18/01/2021,0.7939,3.1632,2.3056,0.7184,2.7168,2.2608,2.9136,0.8096,2.2832,2.6256,2.5072,0.7808,2.6256,1.144,1.6368,1.2272,1.32,2.888,1.6848,0.7392,0.7248,0.6608,0,0.0192,0.3968,0.4448,1.6256,1.6208,1.7536,2.2896,2.8496,2.9328,3.28,3.04,1.5472,2.0464,1.2816,1.8208,1.1376,1.2512,1.112,0.7456,1.4752,0.7328,1.4736,0.8224,18.598,19.882
19/01/2021,20.3005,5.4145,1.2162,3.8496,2.0096,2.1632,5.6735,1.2481,0.9632,6.4365,0.8771,1.3376,1.1664,15.1725,21.0595,20.7615,6.675,4.4339,5.6335,1.4273,2.8992,0.5552,2.24,1.448,1.912,2.4864,1.984,2.0336,1.7552,2.0064,2.8368,2.7008,4.0608,3.7264,2.1968,2.4656,2.232,1.8368,2.2624,2.024,1.9152,1.2192,1.7808,1.2928,1.0544,1.6096,18.3405,20.2355
20/01/2021,20.4175,19.7825,20.2095,20.6225,19.939,20.5375,20.269,20.2545,7.859,0.845,3.5184,3.2208,4.1648,7.8655,20.7025,21.6655,9.8925,6.4275,5.472,5.3295,3.0546,2.7232,1.8864,2.5808,2.872,3.1968,2.6752,3.4064,3.1616,3.6288,4.016,4.0432,4.1952,3.2528,2.2336,1.7696,2.2096,1.8768,1.704,0.9728,1.6224,1.5152,1.0896,1.5264,0.76,1.496,18.4335,20.2205
21/01/2021,20.693,19.883,20.6385,20.5905,20.325,20.584,20.0175,15.779,0.9603,1.3968,7.283,1.181,1.7264,9.027,21.1425,21.04,9.912,6.792,7.9135,3.661,3.776,2.3648,2.3792,1.3728,1.5104,0.7696,2.456,2.0128,1.4992,1.6176,1.92,6.102,9.192,6.0465,2.4099,1.9936,1.4192,2.2592,2.0624,1.552,1.5008,1.4208,1.824,1.0992,1.344,1.0336,18.104,20.44
22/01/2021,20.704,19.872,20.414,19.9155,20.3665,20.3085,20.0785,20.4335,11.9585,2.5442,1.3264,2.5808,2.3024,1.6864,1.3984,1.6464,1.2,1.8608,0.5152,0,0.0096,0,0.3456,0,0,0,0.1072,1.7056,2.1088,3.1712,5.1245,5.2465,5.752,4.333,4.3456,4.3152,3.8288,3.7952,4.0656,3.4256,2.7088,2.536,2.6416,3.0768,2.3584,2.0848,18.987,20.5135
23/01/2021,20.0815,6.626,3.1184,0.9472,2.6384,2.1216,3.6512,0.7136,2.8192,2.4208,2.4432,1.0464,2.2544,1.2048,0.8896,1.3616,0.8352,1.2016,0.2944,0.6192,1.0304,0.4992,1.1232,0.6112,1,0.2304,0.8496,0.7104,0.7648,1.0048,0.3488,0.9152,0.8624,0.8688,1.4368,0.7664,1.4736,0.8496,1.3152,1.6512,0.832,1.1696,1.0704,0.9744,1.608,0.9584,17.835,19.955
